,Course_Name,Course_Description,Prerequisites
4,CHEM 6B. General Chemistry II (4),"Second quarter of a three-quarter sequence intended for science and engineering majors. Topics include covalent bonding, gases, liquids, and solids, colligative properties, physical and chemical equilibria, acids and bases, solubility. May not be taken for credit after CHEM 6BH. ", CHEM 6A or 6AH and MATH 10A or 20A. Recommended: concurrent or prior enrollment in MATH 10B or 20B.
5,CHEM 6BH. Honors General Chemistry II (4),"Second quarter of a three-quarter honors sequence intended for well-prepared science and engineering majors. Topics include colligative properties, bulk material properties, chemical equilibrium, acids and bases, and thermodynamics. Three hour lecture and one hour recitation. May be taken for credit after credit for CHEM 6B. Students completing 6BH may not subsequently take 6B for credit. ", CHEM 6AH and MATH 20A. Recommended: concurrent or prior enrollment in MATH 20B.
6,CHEM 6C. General Chemistry III (4),"Third quarter of a three-quarter sequence intended for science and engineering majors. Topics include thermodynamics, kinetics, electrochemistry, coordination chemistry, and introductions to nuclear, main group organic, and biochemistry. May not be taken for credit after CHEM 6CH. ", CHEM 6B or 6BH. Recommended: completion of MATH 10B or 20B.
7,CHEM 6CH. Honors General Chemistry III (4),Third quarter of a three-quarter honors sequence intended for well-prepared science and engineering majors. Topics are similar to those in 6C but are taught at a higher level and faster pace. May be taken for credit after credit for CHEM 6C. Students completing 6CH may not subsequently take 6C for credit. , CHEM 6BH and MATH 20B.
8,CHEM 7L. General Chemistry Laboratory (4),"Condenses a year of introductory training in analytical, inorganic, physical, and synthetic techniques into one intensive quarter. A materials fee is required. A mandatory safety exam must be passed. Students may not receive credit for both CHEM 7L and CHEM 7LM. ", CHEM 6B or CHEM 6BH.
9,CHEM 7LM. General Chemistry Laboratory for Majors (4),"Condenses a year of introductory training in analytical, inorganic, physical, and synthetic techniques into one intensive quarter. Students may not receive credit for both CHEM 7L and CHEM 7LM. A materials fee is required. A safety exam must be passed. Enrollment preference given to chemistry and biochemistry majors, followed by other science/engineering majors. "," CHEM 6B or CHEM 6BH. Restricted to the following major codes: CH25, CH32, CH31, CH33, CH34, CH35, CH36, CH37."
10,CHEM 11. The Periodic Table (4),Introduction to the material world of atoms and small inorganic molecules. Intended for nonscience majors. Students may not receive credit for both CHEM 4 and CHEM 11.,
11,CHEM 12. Molecules and Reactions (4),"Introduction to molecular bonding and structure and chemical reactions, including organic molecules and synthetic polymers. Intended for nonscience majors. Cannot be taken for credit after any organic chemistry course. ", CHEM 11 or good knowledge of high school chemistry.
12,CHEM 13. Chemistry of Life (4),"Introduction to biochemistry for nonscience majors. Topics include carbohydrates, lipids, amino acids and proteins, with an introduction to metabolic pathways in human physiology.",
13,CHEM 40A. Organic Chemistry I (4),"Renumbered from CHEM 140A. Introduction to organic chemistry with applications to biochemistry. Bonding theory, isomerism, stereochemistry, chemical and physical properties. Introduction to substitution, addition, and elimination reactions. Students may only receive credit for one of the following: CHEM 40A, 40AH, 140A, or 140AH. ", CHEM 6B or CHEM 6BH.
14,CHEM 40AH. Honors Organic Chemistry I (4),"Renumbered from CHEM 140AH. Rigorous introduction to organic chemistry, with preview of biochemistry. Bonding theory, isomerism, stereochemistry, physical properties, chemical reactivity. Students may only receive credit for one of the following: CHEM 40A, 40AH, 140A, or 140AH. ", B+ or higher grade in CHEM 6C or CHEM 6CH.
15,CHEM 40B. Organic Chemistry II (4),"Renumbered from CHEM 140B. Continuation of CHEM 40A, Organic Chemistry I. Methods of analysis, chemistry of hydrocarbons, chemistry of the carbonyl group. Introduction to the reactions of biologically important molecules. Students may only receive credit for one of the following: CHEM 40B, 40BH, 140B, or 140BH. ", CHEM 40A or 140A (a grade of C or higher in CHEM 140A or 40A is strongly recommended).
16,CHEM 40BH. Honors Organic Chemistry II (4),"Renumbered from CHEM 140BH. Organic chemistry course for honors-level students with a strong background in chemistry. Similar to CHEM 40B but emphasizes mechanistic aspects of reactions and effects of molecular structure on reactivity. Students may only receive credit for one of the following: CHEM 40B, 140B, 40BH, or 140BH. "," grade of B or higher in CHEM 40A, 40AH, 140A, or 140AH."
17,CHEM 40C. Organic Chemistry III (4),"Renumbered from CHEM 140C. Continuation of CHEM 40A, Organic Chemistry I and CHEM 40B, Organic Chemistry II. Organic chemistry of biologically important molecules: carboxylic acids, carbohydrates, proteins, fatty acids, biopolymers, natural products. Students may only receive credit for one of the following: CHEM 40C, 40CH, 140C, or 140CH. ", CHEM 40B or 140B (a grade of C or higher in CHEM 40B or 140B is strongly recommended).
18,CHEM 40CH. Honors Organic Chemistry (4),"Renumbered from CHEM 140CH. Continuation of Organic Chemistry 40B or 40BH, at honors level. Chemistry of carboxylic acids, carbohydrates, proteins, lipids biopolymers, natural products. Emphasis on mechanistic aspects and structure reactivity relationships. Students may only receive credit for one of the following: CHEM 40C, 40CH, 140C, or 140CH. "," grade of B+ or higher in CHEM 40B or 140B, or B– or higher in CHEM 40BH or 140BH."
19,CHEM 43A. Organic Chemistry Laboratory (4),"Renumbered from CHEM 143A. Introduction to organic laboratory techniques. Separation, purification, spectroscopy, product analysis, and effects of reaction conditions. A materials fee is required. Students must pass a safety exam. Students may only receive credit for one of the following: CHEM 43A, 43AM, 143A, or 143AM. "," CHEM 7L or 7LM and 40A, 40AH, 140A, or 140AH."
20,CHEM 43AM. Organic Chemistry Laboratory for Majors (4),"Organic chemistry laboratory for chemistry majors; nonmajors with strong background in CHEM 40A or 140A may also enroll, though preference will be given to majors. Similar to CHEM 43A, but emphasizes instrumental methods of product identification, separation, and analysis. A materials fee is required. Students must pass a safety exam. CHEM 43AM is renumbered from CHEM 143AH. Students may only receive credit for one of the following: CHEM 43AM, 143AM, 43A, or 143A. "," CHEM 7L or 7LM and CHEM 40A, 40AH, 140A, or 140AH."
21,CHEM 87. First-year Student Seminar in Chemistry and Biochemistry (1),This seminar will present topics in chemistry at a level appropriate for first-year students.,
22,CHEM 96. Introduction to Teaching Science (2),(Cross-listed with EDS 31.) Explores routine challenges and exceptional difficulties students often have in learning science. Prepares students to make meaningful observations of how K–12 teachers deal with difficulties. Explores strategies that teachers may use to pose problems that stimulate students’ intellectual curiosity.,
23,CHEM 99. Independent Study (2 or 4),Independent literature or laboratory research by arrangement with and under the direction of a member of the Department of Chemistry and Biochemistry faculty. Students must register on a P/NP basis. ," lower-division standing, 3.0 minimum UC San Diego GPA, consent of instructor and department, completion of thirty units of undergraduate study at UC San Diego, completed and approved Special Studies form."
24,CHEM 99H. Independent Study (1),Independent study or research under the direction of a member of the faculty. , student must be of first-year standing and a Regent’s Scholar; approved Special Studies form.
25,CHEM 100A. Analytical Chemistry Laboratory (4),"Laboratory course emphasizing classical quantitative chemical analysis techniques, including separation and gravimetric methods, as well as an introduction to instrumental analysis. Program or materials fees may apply. "," CHEM 6C or 6CH and CHEM 6BL, 7L, or 7LM. Recommended: PHYS 2CL or 2BL."
26,CHEM 100B. Instrumental Chemistry Laboratory (5),"Hands-on laboratory course focuses on development of correct laboratory work habits and methodologies for the operation of modern analytical instrumentation. Gas chromatography, mass spectrometry, high performance liquid chromatography, ion chromatography, atomic absorption spectroscopy, fluorescence spectrometry, infrared spectrometry. Lecture focuses on fundamental theoretical principles, applications, and limitations of instrumentation used for qualitative and quantitative analysis. Program or materials fees may apply. Students may not receive credit for both CHEM 100B and 101. ", CHEM 100A and PHYS 2C or 2D and PHYS 2BL or 2CL or 2DL.
27,CHEM 104. Introduction to X-ray Crystallography (4),"(Conjoined with CHEM 204.) Analysis of macromolecular structures by X-ray diffraction. Topics include symmetry, geometry of diffraction, detection of diffraction, intensity of diffracted waves, phase problem and its solution, heavy atom method, isomorphous replacement, anomalous dispersion phasing methods (MAD), direct methods, and molecular replacement. ", PHYS 2A and 2B.
28,CHEM 105A. Physical Chemistry Laboratory (4),Laboratory course in experimental physical chemistry. Program or materials fees may apply. ," CHEM 6CL or 100A, PHYS 2BL or 2CL or 2DL, and CHEM 126 or 126A or 126B or 127 or 130 or 131 or 133."
29,CHEM 105B. Physical Chemistry Laboratory (4),Laboratory course in experimental physical chemistry. Program or materials fees may apply. , CHEM 105A.
30,CHEM 108. Protein Biochemistry Laboratory (6),"The application of techniques to study protein structure and function, including electrophoresis, protein purification, column chromatography, enzyme kinetics, and immunochemistry. Students may not receive credit for CHEM 108 and BIBC 103. A materials fee may be required for this course. "," CHEM 43A, 143A, 43AM or 143AM, and CHEM 114A."
31,CHEM 109. Recombinant DNA Laboratory (6),This laboratory will introduce students to the tools of molecular biology and will involve experiments with recombinant DNA techniques. Students may not receive credit for both CHEM 109 and BIMM 101. A materials fee may be required for this course. ," CHEM 43A, 143A, 43AM, or 143AM and CHEM 114A."
32,CHEM 111. Origins of Life and the Universe (4),"A chemical perspective of the origin and evolution of the biogeochemical systems of stars, elements, and planets through time. The chemical evolution of the earth, its atmosphere, and oceans, and their historical records leading to early life are discussed. The content includes search techniques for chemical traces of life on other planets. ", CHEM 6C or 6CH.
33,CHEM 113. Biophysical Chemistry of Macromolecules (4),"A discussion of the physical principles governing biomolecular structure and function. Experimental and theoretical approaches to understand protein dynamics, enzyme kinetics, and mechanisms will be covered. May be coscheduled with CHEM 213B. "," CHEM 40C, 40CH, 140C, or 140CH."
34,CHEM 114A. Biochemical Structure and Function (4),"Introduction to biochemistry from a structural and functional viewpoint. Emphasis will be placed on the structure-functions relationships of nucleic acids, proteins, enzymes, carbohydrates, and lipids. Students may not receive credit for both CHEM 114A and BIBC 100. ", CHEM 40A or 140A.
35,CHEM 114B. Biochemical Energetics and Metabolism (4),"This course is an introduction to the metabolic reactions in the cell which produce and utilize energy. The course material will include energy-producing pathways: glycolysis, Krebs cycle, oxidative phosphorylation, fatty-acid oxidation. Biosynthesis of amino acids, lipids, carbohydrates, purines, pyrimidines, proteins, nucleic acids. Students may not receive credit for both CHEM 114B and BIBC 102. "," CHEM 40B, 140B, 40BH, or 140BH and CHEM 114A."
36,CHEM 114C. Biosynthesis of Macromolecules (4),Mechanisms of biosynthesis of macromolecules—particularly proteins and nucleic acids. Emphasis is on how these processes are controlled and integrated with metabolism of the cell. Students may not receive credit for both CHEM 114C and BIMM 100. , CHEM 114A or BIBC 100.
37,CHEM 114D. Molecular and Cellular Biochemistry (4),"This course represents a continuation of 114C, or an introductory course for first- and second-year graduate students and covers topics in molecular and cellular biochemistry. Emphasis will be placed on contemporary approaches to the isolation and characterization of mammalian genes and proteins, and molecular genetic approaches to understanding eukaryotic development and human disease. May be coscheduled with CHEM 214. "," CHEM 114A, 114B, and 114C."
38,"CHEM 115. Genome, Epigenome, and Transcriptome Editing (4)","A discussion of current topics involving nucleic acid modification, including systems derived from zinc fingers, TALEs, and CRISPR-Cas9. Topics of particular emphasis include delivery of genome editing agents, gene drives, and high-throughput genetic screens. May be coscheduled with CHEM 215. ", CHEM 114A and 114C. Corequisite: CHEM 109.
39,CHEM 116. Chemical Biology (4),"A discussion of current topics in chemical biology including mechanistic aspects of enzymes and cofactors, use of modified enzymes to alter biochemical pathways, chemical intervention in cellular processes, and natural product discovery. "," CHEM 40C, 40CH, 140C, or 140CH, and CHEM 114A. (May not be offered every year.)"
40,CHEM 118. Pharmacology and Toxicology (4),A survey of the biochemical action of drugs and toxins as well as their absorption and excretion. , CHEM 114A.
41,CHEM 119. RNA Biochemistry (4),"This course discusses RNA structure and function, as well as biological pathways involving RNA-centered complexes.Emphasis will be placed on catalytic RNA mechanisms, pre-mRNA splicing, noncoding RNA biology, building blocks of RNA structure, and genome editing using RNA-protein complexes. ", BIMM 100 or CHEM 114C and CHEM 40C or CHEM 40CH.
42,CHEM 120A. Inorganic Chemistry I (4),"The chemistry of the main group elements in terms of atomic structure, ionic and covalent bonding. Structural theory involving s, p, and unfilled d orbitals. Thermodynamic and spectroscopic criteria for structure and stability of compounds and chemical reactions of main group elements in terms of molecular structure and reactivity. ", CHEM 6C or 6CH and CHEM 40A or 140A.
43,CHEM 120B. Inorganic Chemistry II (4),"A continuation of the discussion of structure, bonding, and reactivity with emphasis on transition metals and other elements using filled d orbitals to form bonds. Coordination chemistry in terms of valence bond, crystal field, and molecular orbital theory. The properties and reactivities of transition metal complexes including organometallic compounds. ", CHEM 120A.
44,CHEM 123. Advanced Inorganic Chemistry Laboratory (4),"Synthesis, analysis, and physical characterization of inorganic chemical compounds. Program or materials fees may apply. "," CHEM 120A, 120B and 43A, 143A, 43AM or 143AH. Restricted to the following major codes: CH25, CH31, CH34, CH35, CH36, CH37."
45,CHEM 125. Bioinorganic Chemistry (4),"The roles of metal ions in biological systems, with emphasis on transition metal ions in enzymes that transfer electrons, bind oxygen, and fix nitrogen. Also included are metal complexes in medicine, toxicity, and metal ion storage and transport. May be coscheduled with CHEM 225. ", CHEM 114A or 120A.
46,CHEM 126A. Physical Biochemistry I: Thermodynamics and Kinetics of Biomolecules (4),"Renumbered from CHEM 127. This course covers thermodynamics and kinetics of biomolecules from fundamental principles to biomolecular applications. Topics include thermodynamics, first and second laws, chemical equilibrium, solutions, kinetic theory, enzyme kinetics. Students may not receive credit for CHEM 126A and either CHEM 127, CHEM 131, or CHEM 132. "," CHEM 6C or 6CH, PHYS 1C or 2C or 2D, and MATH 10C or 20C."
47,CHEM 126B. Physical Biochemistry II: Quantum and Statistical Mechanics of Biomolecules (4),"Renumbered from CHEM 126. This course covers quantum and statistical mechanics of biomolecules. Topics include quantum mechanics, molecular structure, spectroscopy fundamentals and applications to biomolecules, optical spectroscopy, NMR, and statistical approaches to protein folding. Students may not receive credit for CHEM 126B and either CHEM 126 or CHEM 130. ", CHEM 126A or 127.
48,CHEM 130. Chemical Physics: Quantum Mechanics (4),"Renumbered from CHEM 133. With CHEM 131 and 132, CHEM 130 is part of the Physical Chemistry sequence taught over three quarters. Recommended as the first course of the sequence. Key topics covered in this course include quantum mechanics, atomic and molecular spectroscopy, and molecular structure. Students may not receive credit for CHEM 130 and either 126B, 126, or 133. "," CHEM 6C or 6CH, and PHYS 2C or 2D, and MATH 20D."
49,CHEM 131. Chemical Physics: Stat Thermo I (4),"With CHEM 130 and 132, CHEM 131 is part of the Physical Chemistry sequence taught over three quarters. Recommended as the second course of the sequence. Key topics covered in this course include thermodynamics, chemical equilibrium, phase equilibrium, and chemistry of solutions. Students may not receive credit for CHEM 131 and either CHEM 127 or CHEM 126A. "," CHEM 6C or 6CH, MATH 20C, and PHYS 2C or 2D."
50,CHEM 132. Chemical Physics: Stat Thermo II (4),"With CHEM 130 and 131, CHEM 132 is part of the Physical Chemistry sequence taught over three quarters. Recommended as the third course of the sequence. Key topics covered in this course include chemical statistics, kinetic theory, and reaction kinetics. Students may not receive credit for CHEM 132 and either CHEM 126A or CHEM 127. "," CHEM 130 or 133, and CHEM 131."
51,CHEM 134. Polymeric Materials (4),"Foundations of polymeric materials. Topics: structure of polymers; mechanisms of polymer synthesis; characterization methods using calorimetric, mechanical, rheological, and X-ray-based techniques; and electronic, mechanical, and thermodynamic properties. Special classes of polymers: engineering plastics, semiconducting polymers, photoresists, and polymers for medicine. Students may not receive credit for both CENG 134, CHEM 134, or NANO 134. ", CHEM 6C and PHYS 2C.
52,CHEM 135. Molecular Spectroscopy (4),"Time-dependent behavior of systems; interaction of matter with light; selection rules. Radiative and nonradiative processes, coherent phenomena, and the density matrices. Instrumentation, measurement, and interpretation. May be coscheduled with CHEM 235. Prior or concurrent enrollment in CHEM 105A recommended. ", CHEM 126 or 126B or 130 or 133 and MATH 20D.
53,CHEM 141. Organic Nanomaterials (4),"This course will provide an introduction to the physics and chemistry of soft matter, followed by a literature-based critical examination of several ubiquitous classes of organic nanomaterials and their technological applications. Topics include self-assembled monolayers, block copolymers, liquid crystals, photoresists, organic electronic materials, micelles and vesicles, soft lithography, organic colloids, organic nanocomposites, and applications in biomedicine and food science. "," CHEM 40A, 140A, 40AH, or 140AH."
54,CHEM 142. Introduction to Glycosciences (4),"The primary aim of this course is to provide an overview of fundamental facts, concepts, and methods in glycoscience. The course is structured around major themes in the field, starting from basic understanding of structure and molecular interactions of carbohydrates, to the mechanisms of their biological functions in normal and disease states, to their applications in materials science and energy generation. May be coscheduled with CHEM 242. CHEM 40C and at least one course in either general biology, molecular biology, or cell biology is strongly encouraged. "," CHEM 40B, 140B, 40BH, or 140BH and BIBC 100 or BILD 1 or CHEM 114A."
55,CHEM 143B. Organic Chemistry Laboratory (4),"Continuation of CHEM 43A, 143A, 43AM, and 143AM, emphasizing synthetic methods of organic chemistry. Enrollment is limited to majors in the Department of Chemistry and Biochemistry unless space is available. A materials fee is required. "," CHEM 43A, 143A, 43AM or 143AM, and CHEM 40B or 140B."
56,CHEM 143C. Organic Chemistry Laboratory (4),Identification of unknown organic compounds by a combination of chemical and physical techniques. Enrollment is limited to majors in the Department of Chemistry and Biochemistry unless space is available. Program or materials fees may apply. ," CHEM 43A, 43AM, 143A, 143AM, or 143AH and CHEM 40B, 40BH, 140B, or 140BH."
57,CHEM 143D. Molecular Design and Synthesis (4),"Advanced organic synthesis. Relationships between molecular structure and reactivity using modern synthetic methods and advanced instrumentation. Stresses importance of molecular design, optimized reaction conditions for development of practically useful synthesis, and problem-solving skills. A materials fee is required. "," CHEM 40C, 140C, 40CH, or 140CH and CHEM 143B."
58,CHEM 145. Biofuels and Renewable Materials (4),"Fundamentals of the chemistry and biochemistry of biofuel and renewable materials technologies. This course explores chemical identity and properties, metabolic pathways and engineering, refining processes, formulation, and analytical techniques related to current and future renewable products. "," CHEM 40B, 40BH, 140B, or 140BH."
59,CHEM 146. Kinetics and Mechanism of Organic Reactions (4),"Methodology of mechanistic organic chemistry; integration of rate expression, determination of rate constants, transition state theory; catalysis, kinetic orders, isotope effects, solvent effects, linear free energy relationship; product studies, stereochemistry; reactive intermediates; rapid reactions. May be coscheduled with CHEM 246. "," CHEM 40C, 140C, 40CH, or 140CH."
60,CHEM 151. Molecules that Changed the World (4),"A look at some of nature’s most intriguing molecules and the ability to discover, synthesize, modify, and use them. The role of chemistry in society, and how chemical synthesis—the art and science of constructing molecules—shapes our world. "," CHEM 40A, 140A, 40AH, or 140AH."
61,CHEM 152. Synthetic Methods in Organic Chemistry (4),A survey of reactions of particular utility in the organic laboratory. Emphasis is on methods of preparation of carbon-carbon bonds and oxidation reduction sequences. May be coscheduled with CHEM 252. ," CHEM 40C, 140C, 40CH, or 140CH."
62,CHEM 154. Mechanisms of Organic Reactions (4),"A qualitative approach to the mechanisms of various organic reactions; substitutions, additions, eliminations, condensations, rearrangements, oxidations, reductions, free-radical reactions, and photochemistry. Includes considerations of molecular structure and reactivity, synthetic methods, spectroscopic tools, and stereochemistry. The topics emphasized will vary from year to year. This is the first quarter of the advanced organic chemistry sequence. May be coscheduled with CHEM 254. "," CHEM 40C, 140C, 40CH, or 140CH."
63,CHEM 155. Synthesis of Complex Molecules (4),This course discusses planning economic routes for the synthesis of complex organic molecules. The uses of specific reagents to control stereochemistry will be outlined and recent examples from the primary literature will be highlighted. (May not be offered every year.) May be coscheduled with CHEM 255. , CHEM 152 or 154.
64,CHEM 156. Structure and Properties of Organic Molecules (4),"Introduction to the measurement and theoretical correlation of the physical properties of organic molecules. Topics covered include molecular geometry, molecular-orbital theory, orbital hybridization, aromaticity, chemical reactivity, stereochemistry, infrared and electronic spectra, photochemistry, and nuclear magnetic resonance. May be coscheduled with CHEM 256. "," CHEM 40C, 140C, 40CH, or 140CH."
65,CHEM 157. Bioorganic and Natural Products Chemistry (4),"A comprehensive survey of modern bioorganic and natural products chemistry. Topics will include biosynthesis of natural products, molecular recognition, and small molecule-biomolecule interactions. May be coscheduled with CHEM 257. "," CHEM 40C, 140C, 40CH, or 140CH."
66,CHEM 158. Applied Spectroscopy (4),Intensive coverage of modern spectroscopic techniques used to determine the structure of organic molecules. Problem solving and interpretation of spectra will be emphasized. May be coscheduled with CHEM 258. ," CHEM 40C, 140C, 40CH, or 140CH."
67,CHEM 164. Structural Biology of Viruses (4),"An introduction to virus structures, how they are determined, and how they facilitate the various stages of the viral life cycle from host recognition and entry to replication, assembly, release, and transmission to uninfected host cells. (May not be offered every year.) ", BIBC 100 or CHEM 114A and BIBC 102 or CHEM 114B and BIMM 100 or CHEM 114C.
68,CHEM 165. 3D Cryo-Electron Microscopy of Macromolecules and Cells (4),"(Cross-listed with BIMM 162.) The resolution revolution in cryo-electron microscopy has made this a key technology for the high-resolution determination of structures of macromolecular complexes, organelles, and cells. The basic principles of transmission electron microscopy, modern cryo-electron microscopy, image acquisition, and 3D reconstruction will be discussed. Examples from the research literature using this state-of-the-art technology will also be discussed. ", CHEM 114A or BIBC 100.
69,CHEM 167. Medicinal Chemistry (4),"Basics of medicinal chemistry, emphasizing rigorous descriptions of receptor-protein structure, interactions, and dynamics; their implications for drug development; and an integrated treatment of pharmacodynamic and pharmacokinetic considerations in drug design. Treats computational approaches as well as practical experimental approaches. "," CHEM 40C, 140C, 40CH or 140CH and CHEM 114A."
70,CHEM 168. Drug Synthesis and Design (4),"Practical methods to make drugs currently in use and to design future drugs. Treats both chemical synthesis and biologics like monoclonal antibodies. Topics include fragment-based screening, solid phase synthesis, directed evolution, and bioconjugation as well as efficacy, metabolism, and toxicity. "," CHEM 40C, 40CH, 140C, or 140CH and CHEM 114A."
71,CHEM 171. Environmental Chemistry I (4),"An introduction to chemical concerns in nature with emphasis on atmospheric issues like air pollution, chlorofluorocarbons and the ozone hole, greenhouse effects and climate change, impacts of radioactive waste, sustainable resource usage, and risks and benefits of energy sources. Students may only receive credit for one of the following: CHEM 149A or 171. ", CHEM 6C or 6CH.
72,CHEM 172. Environmental Chemistry II (4),"An introduction to chemical concerns in nature with emphasis on soil and water issues like agricultural productivity, biological impacts in the environment, deforestation, ocean desserts, natural and manmade disasters (fires, nuclear winter, volcanoes), and waste handling. Recommended preparation: CHEM 171 (formerly 149A). Students may only receive credit for one of the following: CHEM 172 or 149B. ", CHEM 6C or 6CH.
73,CHEM 173. Atmospheric Chemistry (4),"Chemical principles applied to the study of atmospheres. Atmospheric photochemistry, radical reactions, chemical lifetime determinations, acid rain, greenhouse effects, ozone cycle, and evolution are discussed. May be coscheduled with CHEM 273. ", CHEM 6C or 6CH.
74,CHEM 174. Chemical Principles of Marine Systems (4),"(Cross-listed with SIO 141.) Introduction to the chemistry and distribution of the elements in seawater, emphasizing basic chemical principles such as electron structure, chemical bonding, and group and periodic properties and showing how these affect basic aqueous chemistry in marine systems. Students may not receive credit for SIO 141 and CHEM 174. ", CHEM 6C or 6CH.
75,CHEM 185. Quantum Chemistry Lab (4),"Course in computational methods, with focus on quantum chemistry. The course content is built on a background in mathematics and physical chemistry, and provides an introduction to computational theory, ab initio methods, and semiempirical methods. The emphasis is on applications and reliability. May be coscheduled with CHEM 285. ", CHEM 126 or 126B or 130 or 133 and MATH 20C or 31BH. (May not be offered every year.)
76,CHEM 186. Molecular Simulations Lab (4),"Course in computational methods, with focus on molecular simulations. The course content is built on a background in mathematics and physical chemistry, and provides an introduction to computational theory and molecular mechanics. The emphasis is on applications and reliability. May be coscheduled with CHEM 286. ", MATH 20C and CHEM 126 or CHEM 126B or CHEM 130 or CHEM 133.
77,CHEM 187. Foundations of Teaching and Learning Science (4),"(Cross-listed with EDS 122.) Examine theories of learning and how they are important in the science classroom. Conceptual development in the individual student, as well as the development of knowledge in the history of science. Key conceptual obstacles in science will be explored. ", CHEM 6C or 6CH and CHEM 96 or EDS 31.
78,CHEM 188. Capstone Seminar in Science Education (4),"(Cross-listed with EDS 123.) In the lecture and observation format, students continue to explore the theories of learning in the science classroom. Conceptual development is fostered, as well as continued development of knowledge of science history. Students are exposed to the science of teaching in science in actual practice. ", CHEM 6C or 6CH and CHEM 187 or EDS 122.
79,CHEM 190. Mathematics for Physical Chemistry (4),"Focus on select topics from among numerous areas relevant to chemistry, including linear algebra, probability theory, group theory, complex variables, Laplace and Fourier transforms, partial differential equations, stochastic variables, random walks, and others. May be coscheduled with CHEM 290. ", MATH 20D.
80,CHEM 192. Senior Seminar in Chemistry and Biochemistry (1),"The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in chemistry or biochemistry. May be taken for credit up to four times, with a change in topic, and permission of the department. P/NP grades only. ", department stamp and/or consent of the instructor.
81,CHEM 194. Special Topics in Chemistry (2),"Selected topics in the field of chemistry. Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current subtitles will be listed on the Schedule of Classes. May be taken for credit up to four times as topics vary. Students may not receive credit for the same topic.",
82,CHEM 195. Methods of Teaching Chemistry (4),An introduction to teaching chemistry. Students are required to attend a weekly class on methods of teaching chemistry and will teach a discussion section of one of the lower-division chemistry courses. Attendance at lecture of the lower-division course in which the student is participating is required. P/NP grades only. , consent of instructor.
83,CHEM 196. Reading and Research in Chemical Education (2 or 4),"Independent literature or discipline-based education research by arrangement with, and under the direction of, a member of the Department of Chemistry and Biochemistry faculty. P/NP grades only. "," upper-division standing, 2.5 minimum GPA, consent of instructor and department."
84,CHEM 197. Chemistry Internship (2 or 4),"An internship program that provides work experience with public/private sector employers. Subject to the availability of positions, students will work in a local company under the supervision of a faculty member and site supervisor. P/NP grades only. May be taken for credit a maximum of three times. "," Completion of ninety units with a GPA of 2.5, and a completed and approved Special Studies form (UC San Diego Application for Enrollment Special Studies Courses 197, 198, 199), and department stamp."
85,CHEM 198. Directed Group Study (1–4),"Directed group study on a topic or in a field not included in the regular department curriculum, by arrangement with a chemistry and biochemistry faculty member. P/NP grades only. May be taken for credit two times. "," department approval required and a completed and approved Special Studies form (UC San Diego Application for Enrollment Special Studies Courses 197, 198, 199)."
86,CHEM 199. Reading and Research (2 or 4),"Independent literature or laboratory research by arrangement with, and under the direction of, a member of the Department of Chemistry and Biochemistry faculty. Students must register on a P/NP basis. "," upper-division standing, 2.5 minimum GPA, consent of instructor and department and the completion of the online CHEM 199 application.)"
87,CHEM 200B. Fundamentals of Instrumental Analysis (4),"Fundamental theoretical principles, capabilities, applications, and limitations of modern analytical instrumentation used for qualitative and quantitative analysis. Students will learn how to define the nature of an analytical problem and how to select an appropriate analytical method. Letter grades only. Recommended preparation: background equivalent to CHEM 100A and introductory optics and electricity from physics. (W)",
88,CHEM 204. Introduction to X-ray Crystallography (4),"(Conjoined with CHEM 104.) Analysis of macromolecular structures by X-ray diffraction. Topics include symmetry, geometry of diffraction, detection of diffraction, intensity of diffracted waves, phase problem and its solution, heavy atom method, isomorphous replacement, anomalous dispersion phasing methods (MAD), direct methods, and molecular replacement. CHEM 204 students will be required to complete additional paper and/or exam beyond that expected of students in CHEM 104.",
89,CHEM 207. Protein NMR (4),"A broad introduction to the uses of nuclear magnetic resonance to characterize and understand proteins. Not highly mathematical, this course should be accessible to chemistry graduate students working with proteins.",
90,CHEM 209. Macromolecular Recognition (4),"Structures and functions of nucleic acids, folding and catalysis of nucleic acids, motifs and domains of proteins, principles of protein-protein interactions, chemistry of protein/DNA and protein/RNA interfaces, conformational changes in macromolecular recognition. "," biochemistry background and graduate standing, or approval of instructor."
91,"CHEM 210. Lipid Cell Signaling Genomics, Proteomics, and Metabolomics (2)","Overview of new systems biology “-omics” approached to lipid metabolism and cell signaling, including interrogating gene and lipid databases, techniques for lipidomics, and implications for profiling and biomarker discovery in blood and tissues relevant to inflammatory and other human diseases. Cross-listed with BIOM 209 and PHAR 208. Recommended preparation: one quarter of undergraduate biochemistry.",
92,CHEM 212. Biochemistry and Biophysics of Cell Membranes (4),"Structure and function of biological membranes and their lipid building blocks. Topics include lipid metabolism, membrane dynamics, protein-lipid interactions, lipid signaling, and cellular trafficking. Lectures covering fundamentals will be combined with literature-based discussions and presentations. ", graduate standing.
93,CHEM 213A. Structure of Biomolecules and Biomolecular Assemblies (4),"A discussion of structures of nucleic acids and proteins and their larger assemblies. The theoretical basis for nucleic acid and protein structure, as well as methods of structure determination including X-ray crystallography, cryoEM, and computational modeling approaches will be covered. Letter grades only. ", graduate standing.
